repeticao,loop_a_s,loop_b_s
1,0.0102,0.096
2,0.0229,0.1014
3,0.0136,0.0918
4,0.0104,0.0871
5,0.0122,0.0859
6,0.015,0.0784
7,0.0086,0.0695
8,0.0075,0.061
9,0.0065,0.0587
10,0.0064,0.0567
11,0.0069,0.0611
12,0.0066,0.0547
13,0.0062,0.0527
14,0.0079,0.0615
15,0.0066,0.061
16,0.0066,0.057
17,0.0066,0.0588
18,0.0072,0.0618
19,0.0061,0.0604
20,0.0057,0.0528
21,0.0058,0.0528
22,0.0055,0.0535
23,0.0077,0.0543
24,0.0059,0.0491
25,0.0093,0.0532
26,0.0059,0.0481
27,0.0085,0.0685
28,0.0082,0.0611
29,0.0061,0.0499
30,0.0065,0.049
